name,shorttype,length,index,type,defaultValue,property_Text,properties_Id
Reconciliation_Period,N,4,47,Int,0000,,1
Reconciliation_Currency,N,3,51,Int,000,,1
Reconciliation_Amount_Sign,A,1,54,String,0,,1
Reconciliation_Amount_,N,14,55,Int,00000000000000,,1
Filler,N,8,69,Int,N,,1
Message_Length,N,4,77,Int,0320,,1
Transaction_Definition_Id,N,1,81,Int,0,,1
Transaction_Processed_Flag,N,1,82,Int,0,,1
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,,1
Message_Type,N,1,87,Int,0,,1
BankMaster_Destination_Branch_Number,N,2,88,Int,00,,1
BankMaster_Destination_Branch_Number,N,2,90,Int,00,,1
Filler,N,1,92,Int,0,,1
Inter_Branching_Flag,A,1,93,String,0,,1
Device_Id,N,4,94,Int,0000,,1
Message_Function_Code,N,1,98,Int,3,,1
Transaction_Type,N,2,99,Int,00,,1
Force_Post_Flag,N,1,101,Int,0,,1
Transaction_Date,N,8,102,Int,20170222,,1
User_Id,A,4,110,String,RODR,,1
Transaction_Sequence_Number,N,5,114,Int,00000,,1
Transaction_Chain_Number,N,2,119,Int,00,,1
Host_Task_Id,A,4,121,String,ST01,,1
BankMaster_Transaction_Type_02,N,2,125,Int,  ,,1
Authorised_Flag,A,1,127,String,0,,1
Filler,A,4,128,String,    ,,1
Directory,A,6,132,String,esiubp,,1
Name_of_File,A,6,138,String,glenq0,,1
Transaction_Type,N,1,144,Int,3,,1
No_of_Fields,N,2,145,Int,07,,1
Dsp_of_ACCOUNT NO,N,8,147,Int,01130021,,1
Filler     ,A,3,155,String,   ,,1
ACCOUNT NO,A,13,158,String,01170504637  ,,1
Dsp_of_FILLER ,N,8,171,Int,02070034,,1
Filler     ,A,3,179,String,   ,,1
FILLER ,A,7,182,String,       ,,1
Dsp_of_A/C DESCR ,N,8,189,Int,03300047,,1
Filler     ,A,3,197,String,   ,,1
A/C DESCR ,A,30,200,String,CHEQUE ACC:WHOLESALE & RETAIL ,,1
Dsp_of_BOOK   BALC,N,8,230,Int,04110089,,1
Filler     ,A,3,238,String,EUR,,1
BOOK   BALC,S,11,241,Int,-0073539109,,1
Dsp_of_CLEAR  BALC,N,8,252,Int,05110105,,1
Filler     ,A,3,260,String,EUR,,1
CLEAR  BALC,S,11,263,Int,-0074243753,,1
Dsp_of_REPORT BALC,N,8,274,Int,06150133,,1
Filler     ,A,3,282,String,EUR,,1
REPORT BALC,S,15,285,Int,-00000074489090,,1
Dsp_of_LIMIT  ,N,8,300,Int,07130410,,1
Filler     ,A,3,308,String,   ,,1
LIMIT  ,S,13,311,Int,-000000813300,,1
Destination_Mailbox_1,A,1,0,String,b,This field identifies the delivery system to the TPS. Transactions generated by BranchPower set this field to a. Other delivery systems can use any value.,2
Destination_Country_Code_1,N,3,1,Int,470,The 3-digit ISO country code of the destination bank. This field is used in conjunction with the Destination Interchange Member and the Destination Branch Number to determine the BankMaster branch number for the destination account.,2
Destination_IMD_Code_1,N,6,4,Int,512345,The 6 -digit IMD of the destination bank.,2
Destination_Branch_Number_1,N,4,10,Int,0005,The destination branch number.,2
Source_Mailbox_1,A,1,14,String,a,This field identifies the type of processing to be carried out on the transaction. The following values are currently in use:,2
Source_Country_Code_1,N,3,15,Int,470,The 3-digit ISO country code of the bank at which the transaction was entered.,2
Source_IMD_Code_1,N,6,18,Int,512345,The 6-digit IMD of the bank at which the transaction was entered.,2
Source_Branch_Number_1,N,4,24,Int,0019,The branch number of the branch at which the transaction was entered.,2
Business_Period_1,N,4,28,Int,0000,Not currently used.,2
Message_Type_2,N,1,32,Int,1,This field should be set to 1 (response message required from the remote server).,2
Sequence_Number_1,N,6,33,Int,000000,Used by the TPS system software.,2
Time_1,N,6,39,Int,154257,The time the transaction was entered. It must be in the format HHMMSS.,2
Transaction_Status_1,N,1,45,Int,0,This field should have a value of 0 to indicate a normal message. It may be intercepted by the TPS CIO module and amended to:,2
Message_Flags_1,A,1,46,String,@,This field should have a value of 40HEX for a normal message.,2
Reconciliation_Period_1,N,4,47,Int,0000,Not currently used.,2
Reconciliation_Currency_1,N,3,51,Int,000,Not currently used.,2
Reconciliation_Amount_Sign_1,A,1,54,String,0,Not currently used.,2
Reconciliation_Amount_1,N,14,55,Int,00000000000000,Not currently used.,2
Filler_2,A,8,69,String,N       ,This field should be set to zeros.,2
Message_Length_1,N,4,77,Int,1252,The length of the full request message (including the request header).,2
Transaction_Definition_Id_1,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,2
Transaction_Processed_Flag_1,N,1,82,Int,0,This flag can have the following values :,2
BranchPower_Transaction_Reference_Id_1,A,4,83,String,BRFO,This field is set to BRFO to indicate a BranchPower Front Office message. It is not used by the TPS Transaction Processing Modules.,2
Message_Type_3,N,1,87,Int,1,This field is exactly the same as the Message Type field (displacement 0032).,2
BankMaster_Destination_Branch_Number_2,N,2,88,Int,00,This field must be set to zeros. The TPS CIO module maps the source country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,2
BankMaster_Destination_Branch_Number_3,N,2,90,Int,00,This field must be set to zeros. The TPS CIO maps the destination country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,2
Filler_3,N,1,92,Int,0,This field should be set to zeros.,2
Inter_Branching_Flag_1,A,1,93,String,0,This flag is used along with the Transaction Definition Id (displacement 0081) to identify inter-branching transactions. This flag can have the following values :,2
Device_Id_1,N,4,94,Int,0000,The device ID from which the transaction originated. This field must be set to zeros where the device id is unknown.,2
Message_Function_Code_1,N,1,98,Int,5,This field determines the type of transaction. It can have the following values :,2
Transaction_Type_2,N,2,99,Int,00,Not currently used.,2
Force_Post_Flag_1,N,1,101,Int,0,This field determines how the transaction should be treated. It can have the following values :,2
Transaction_Date_1,N,8,102,Int,20170215,The date the transaction originated from the front-office application. It must be in the format CCYYMMDD.,2
User_Id_1,A,4,110,String,RODR,The ID of the user who entered the transaction. The TPS uses the first three characters of this field along with the Transaction Sequence Number and Transaction Chain Number to generate a unique transaction reference for the transaction within TPS and Ban,2
Transaction_Sequence_Number_1,N,5,114,Int,00000,Each transaction must be assigned a unique transaction sequence number. However, each transaction within a chained series of BranchPower transactions must have the same sequence number. The Transaction Chain Number for each transaction in the chain must b,2
Transaction_Chain_Number_1,N,2,119,Int,00,Each transaction within a chain must be assigned a unique chain number. For transactions that are not part of a chain, this field must be set to 01.,2
Host_Task_Id_1,A,4,121,String,ST01,This field specifies which TPM should process the transaction. For a full list of valid codes, see the Introduction to this document.,2
BankMaster_Transaction_Type_1,A,2,125,String,  ,The BankMaster transaction type to be used for this transaction. It must exist on the BankMaster Control file. This field is used only for financial messages and on all other messages it should be set to 00.,2
Authorised_Flag_1,A,1,127,String,0,This field must be initialised to 0.,2
Directory_1,A,6,128,String,esiubp,The easidata directory name,2
Name_of_File_1,A,6,134,String,cusab2,The easidata parameter file name,2
Transaction_Type_3,N,1,140,Int,2,1- insert , 2 – Amend, 3 - Inquiry,2
No_of_Fields_1,N,2,141,Int,61,Total number of fields in parameter file,2
Dsp_of_CLIENT NR,N,8,143,Int,01060002,01 – Field  number in parameter file,2
Filler     _7,A,3,151,String,   ,Filler,2
CLIENT NR ,N,6,154,Int,504526,Value for field,2
Dsp_of_SHORT NAME,A,8,160,String,02300008,,2
Filler      ,A,3,168,String,   ,Filler,2
SHORT NAME,A,30,171,String,GEMS INTERNATIONAL LTD        ,Value for field,2
Dsp_of_POST NAME,A,8,201,String,03500231,,2
Filler     _8,A,3,209,String,   ,Filler,2
POST NAME,A,50,212,String,GEMS INTERNATIONAL LTD                            ,Value for field,2
Dsp_of_ADDRESS 1,A,8,262,String,04300038,,2
Filler     _9,A,3,270,String,   ,Filler,2
ADDRESS 1,A,30,273,String,THE DIRECTORS                 ,Value for field,2
Dsp_of_ADDRESS 2,A,8,303,String,05300068,,2
Filler     _10,A,3,311,String,   ,Filler,2
ADDRESS 2,A,30,314,String,256 THE HATCH                 ,Value for field,2
Dsp_of_ADDRESS 3,A,8,344,String,06200098,,2
Filler     _11,A,3,352,String,   ,Filler,2
ADDRESS 3,A,20,355,String,POPE ALEXANDER VII  ,Value for field,2
Dsp_of_ADDRESS 4,A,8,375,String,07200118,,2
Filler     _12,A,3,383,String,   ,Filler,2
ADDRESS 4,A,20,386,String,BALZAN              ,Value for field,2
Dsp_of_POST CODE,A,8,406,String,08100138,,2
Filler     _13,A,3,414,String,   ,Filler,2
POST CODE,A,10,417,String,BZN1234   ,Value for field,2
Dsp_of_ALHPA-CODE,A,8,427,String,09151149,,2
Filler     _14,A,3,435,String,   ,Filler,2
ALHPA-CODE,A,15,438,String,GEMSINTERNATION,Value for field,2
Dsp_of_DATE EST,A,8,453,String,10080176,,2
Filler     _15,A,3,461,String,   ,Filler,2
DATE EST,N,8,464,Int,25112014,Value for field,2
Dsp_of_HOME PHONE,A,8,472,String,11091852,,2
Filler     _16,A,3,480,String,   ,Filler,2
HOME PHONE,A,9,483,String,21123456 ,Value for field,2
Dsp_of_ALT PHONE,A,8,492,String,12091861,,2
Filler     _17,A,3,500,String,   ,Filler,2
ALT PHONE,A,9,503,String,800125698,Value for field,2
Dsp_of_OCCUPATION,A,8,512,String,13021870,,2
Filler     _18,A,3,520,String,   ,Filler,2
OCCUPATION,A,2,523,String,19,Value for field,2
Dsp_of_EMPLOYER,A,8,525,String,14161872,,2
Filler     _19,A,3,533,String,   ,Filler,2
EMPLOYER,A,16,536,String,                ,Value for field,2
Dsp_of_LOC TAX NO,A,8,552,String,15101888,,2
Filler     _20,A,3,560,String,   ,Filler,2
LOC TAX NO,A,10,563,String,C45698    ,Value for field,2
Dsp_of_MARITAL ST,A,8,573,String,16011898,,2
Filler     _21,A,3,581,String,   ,Filler,2
MARITAL ST,A,1,584,String, ,Value for field,2
Dsp_of_CNTR RISK,A,8,585,String,17021921,,2
Filler     _22,A,3,593,String,   ,Filler,2
CNTR RISK,A,2,596,String,MT,Value for field,2
Dsp_of_CNTR CTZN,A,8,598,String,18021923,,2
Filler     _23,A,3,606,String,   ,Filler,2
CNTR CTZN,A,2,609,String,MT,Value for field,2
Dsp_of_CNTR RES,A,8,611,String,19021925,,2
Filler     _24,A,3,619,String,   ,Filler,2
CNTR RES,A,2,622,String,MT,Value for field,2
Dsp_of_NXT REV DT,A,8,624,String,20081927,,2
Filler     _25,A,3,632,String,   ,Filler,2
NXT REV DT,N,8,635,Int,20170215,Value for field,2
Dsp_of_ID-CARD-1,A,8,643,String,21081933,,2
Filler     _26,A,3,651,String,   ,Filler,2
ID-CARD-1,A,8,654,String,C45698  ,Value for field,2
Dsp_of_ID-CARD-2,A,8,662,String,22081941,,2
Filler     _27,A,3,670,String,   ,Filler,2
ID-CARD-2,A,8,673,String,        ,Value for field,2
Dsp_of_ID-CARD-3 ,A,8,681,String,23081949,,2
Filler     _28,A,3,689,String,   ,Filler,2
ID-CARD-3 ,A,8,692,String,        ,Value for field,2
Dsp_of_SOC ECO GR,A,8,700,String,24011957,,2
Filler     _29,A,3,708,String,   ,Filler,2
SOC ECO GR,N,1,711,Int,0,Value for field,2
Dsp_of_FTHR/SPOUS,A,8,712,String,25121958,,2
Filler     _30,A,3,720,String,   ,Filler,2
FTHR/SPOUS,A,12,723,String,            ,Value for field,2
Dsp_of_CONN CLNT1,A,8,735,String,26061970,,2
Filler     _31,A,3,743,String,   ,Filler,2
CONN CLNT1,A,6,746,String,      ,Value for field,2
Dsp_of_CONN CLNT2,A,8,752,String,27061976,,2
Filler     _32,A,3,760,String,   ,Filler,2
CONN CLNT2,A,6,763,String,      ,Value for field,2
Dsp_of_CONN CLNT3,A,8,769,String,28061982,,2
Filler     _33,A,3,777,String,   ,Filler,2
CONN CLNT3,A,6,780,String,      ,Value for field,2
Dsp_of_CONN CLNT4,A,8,786,String,29061988,,2
Filler     _34,A,3,794,String,   ,Filler,2
CONN CLNT4,A,6,797,String,      ,Value for field,2
Dsp_of_PRIME A/C,A,8,803,String,30130155,,2
Filler     _35,A,3,811,String,   ,Filler,2
PRIME A/C,A,13,814,String,             ,Value for field,2
Dsp_of_BANK FLAG,A,8,827,String,31010175,,2
Filler     _36,A,3,835,String,   ,Filler,2
BANK FLAG,N,1,838,Int,0,Value for field,2
Dsp_of_NON-RES CD,A,8,839,String,32010148,,2
Filler     _37,A,3,847,String,   ,Filler,2
NON-RES CD,A,1,850,String,0,Value for field,2
Dsp_of_STAFF IND.,A,8,851,String,33010184,,2
Filler     _38,A,3,859,String,   ,Filler,2
STAFF IND.,A,1,862,String, ,Value for field,2
Dsp_of_SEX INDIC.,A,8,863,String,34010186,,2
Filler     _39,A,3,871,String,   ,Filler,2
SEX INDIC.,A,1,874,String, ,Value for field,2
Dsp_of_LANG IND ,A,8,875,String,35010185,,2
Filler     _40,A,3,883,String,   ,Filler,2
LANG IND ,N,1,886,Int,0,Value for field,2
Dsp_of_GAP ANL IN,A,8,887,String,36010187,,2
Filler     _41,A,3,895,String,   ,Filler,2
GAP ANL IN,N,1,898,Int,0,Value for field,2
Dsp_of_CORR ADD,A,8,899,String,37060190,,2
Filler     _42,A,3,907,String,   ,Filler,2
CORR ADD,A,6,910,String,      ,Value for field,2
Dsp_of_INT PAID ,A,8,916,String,38010291,,2
Filler     _43,A,3,924,String,   ,Filler,2
INT PAID ,N,1,927,Int,0,Value for field,2
Dsp_of_INT RECD.,A,8,928,String,39010292,,2
Filler     _44,A,3,936,String,   ,Filler,2
INT RECD.,N,1,939,Int,0,Value for field,2
Dsp_of_FX FUT IND,A,8,940,String,40010299,,2
Filler     _45,A,3,948,String,   ,Filler,2
FX FUT IND,N,1,951,Int,0,Value for field,2
Dsp_of_COMM CODE ,A,8,952,String,41010399,,2
Filler     _46,A,3,960,String,   ,Filler,2
COMM CODE ,A,1,963,String, ,Value for field,2
Dsp_of_ALT. MSG.?,A,8,964,String,42010385,,2
Filler     _47,A,3,972,String,   ,Filler,2
ALT. MSG.?,N,1,975,Int,0,Value for field,2
Dsp_of_FIN. INST.,A,8,976,String,43010396,,2
Filler     _48,A,3,984,String,   ,Filler,2
FIN. INST.,N,1,987,Int,0,Value for field,2
Dsp_of_TAX FLAG,A,8,988,String,44010397,,2
Filler     _49,A,3,996,String,   ,Filler,2
TAX FLAG,A,1,999,String, ,Value for field,2
Dsp_of_LABEL PRT ,A,8,1000,String,45010374,,2
Filler     _50,A,3,1008,String,   ,Filler,2
LABEL PRT ,N,1,1011,Int,0,Value for field,2
Dsp_of_STMT FLAG,A,8,1012,String,46011117,,2
Filler     _51,A,3,1020,String,   ,Filler,2
STMT FLAG,N,1,1023,Int,0,Value for field,2
Dsp_of_FILLER,A,8,1024,String,47070168,,2
Filler     _52,A,3,1032,String,   ,Filler,2
FILLER,A,7,1035,String,       ,Value for field,2
Dsp_of_BRANCH NO,A,8,1042,String,48041848,,2
Filler     _53,A,3,1050,String,   ,Filler,2
BRANCH NO,N,4,1053,Int,0005,Value for field,2
Dsp_of_TITLES,A,8,1057,String,49100281,,2
Filler     _54,A,3,1065,String,   ,Filler,2
TITLES,A,10,1068,String,          ,Value for field,2
Dsp_of_ZONE ,A,8,1078,String,50011994,Value for field,2
Filler     _55,A,3,1086,String,   ,,2
ZONE ,A,1,1089,String,A,Filler,2
Dsp_of_ALTKEY ONE,A,8,1090,String,51151164,Value for field,2
Filler     _56,A,3,1098,String,   ,,2
ALTKEY ONE,A,15,1101,String,C45698         ,Filler,2
Dsp_of_VAT NO,A,8,1116,String,52081900,,2
Filler     _57,A,3,1124,String,   ,Filler,2
VAT NO,N,8,1127,Int,12345555,Value for field,2
Dsp_of_DEPT.INDIC,A,8,1135,String,53011908,,2
Filler     _58,A,3,1143,String,   ,Filler,2
DEPT.INDIC,N,1,1146,Int,0,Value for field,2
Dsp_of_RSK GRADE,A,8,1147,String,54021909,,2
Filler     _59,A,3,1155,String,   ,Filler,2
RSK GRADE,A,2,1158,String,R2,Value for field,2
Dsp_of_SME IND.,A,8,1160,String,55011912,,2
Filler     _60,A,3,1168,String,   ,Filler,2
SME IND.,N,1,1171,Int,0,Value for field,2
Dsp_of_SP.PURP.ENT,A,8,1172,String,56011913,,2
Filler     _61,A,3,1180,String,   ,Filler,2
SP.PURP.ENT,N,1,1183,Int,0,Value for field,2
Dsp_of_DOC.IN.ORD,A,8,1184,String,57012025,,2
Filler     _62,A,3,1192,String,   ,Filler,2
DOC.IN.ORD,A,1,1195,String,Y,Value for field,2
Dsp_of_DOC. TYPE,A,8,1196,String,58012032,,2
Filler     _63,A,3,1204,String,   ,Filler,2
DOC. TYPE,A,1,1207,String,C,Value for field,2
Dsp_of_CNTR ISSUE,A,8,1208,String,59022033,,2
Filler     _64,A,3,1216,String,   ,Filler,2
CNTR ISSUE,A,2,1219,String,MT,Value for field,2
Dsp_of_REL. PARTY,A,8,1221,String,60012036,,2
Filler     _65,A,3,1229,String,   ,Filler,2
REL. PARTY,A,1,1232,String,N,Value for field,2
Dsp_of_DTE INSERT,A,8,1233,String,61082026,,2
Filler     _66,A,3,1241,String,   ,Filler,2
DTE INSERT,N,8,1244,Int,20170215,Value for field,2
Destination_Mailbox,A,1,0,String,b,This field identifies the delivery system to the TPS. Transactions generated by BranchPower set this field to a. Other delivery systems can use any value.,3
Destination_Country_Code,N,3,1,Int,470,The 3-digit ISO country code of the destination bank. This field is used in conjunction with the Destination Interchange Member and the Destination Branch Number to determine the BankMaster branch number for the destination account.,3
Destination_IMD_Code,N,6,4,Int,512345,The 6 -digit IMD of the destination bank.,3
Destination_Branch_Number,N,4,10,Int,0005,The destination branch number.,3
Source_Mailbox,A,1,14,String,a,This field identifies the type of processing to be carried out on the transaction. The following values are currently in use:,3
Source_Country_Code,N,3,15,Int,470,The 3-digit ISO country code of the bank at which the transaction was entered.,3
Source_IMD_Code,N,6,18,Int,512345,The 6-digit IMD of the bank at which the transaction was entered.,3
Source_Branch_Number,N,4,24,Int,0019,The branch number of the branch at which the transaction was entered.,3
Business_Period,N,4,28,Int,0000,Not currently used.,3
Message_Type,N,1,32,Int,1,This field should be set to 1 (response message required from the remote server).,3
Sequence_Number,N,6,33,Int,000000,Used by the TPS system software.,3
Time,N,6,39,Int,153942,The time the transaction was entered. It must be in the format HHMMSS.,3
Transaction_Status,N,1,45,Int,0,This field should have a value of 0 to indicate a normal message. It may be intercepted by the TPS CIO module and amended to:,3
Message_Flags,A,1,46,String,@,This field should have a value of 40HEX for a normal message.,3
Reconciliation_Period,N,4,47,Int,0000,Not currently used.,3
Reconciliation_Currency,N,3,51,Int,000,Not currently used.,3
Reconciliation_Amount_Sign,A,1,54,String,0,Not currently used.,3
Reconciliation_Amount,N,14,55,Int,00000000000000,Not currently used.,3
Filler,N,8,69,Int,N       ,This field should be set to zeros.,3
Message_Length,N,4,77,Int,1252,The length of the full request message (including the request header).,3
Transaction_Definition_Id,N,1,81,Int,0,This field works in conjunction with the Inter Branching Flag (displacement 0093) to identify inter-branch transactions.,3
Transaction_Processed_Flag,N,1,82,Int,0,This flag can have the following values :,3
BranchPower_Transaction_Reference_Id,A,4,83,String,BRFO,This field is set to BRFO to indicate a BranchPower Front Office message. It is not used by the TPS Transaction Processing Modules.,3
Message_Type,N,1,87,Int,1,This field is exactly the same as the Message Type field (displacement 0032).,3
BankMaster_Destination_Branch_Number,N,2,88,Int,00,This field must be set to zeros. The TPS CIO module maps the source country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,3
BankMaster_Destination_Branch_Number,N,2,90,Int,00,This field must be set to zeros. The TPS CIO maps the destination country code, IMD and branch number to a BankMaster branch number and inserts this value into this field.,3
Filler,N,1,92,Int,0,This field should be set to zeros.,3
Inter_Branching_Flag,A,1,93,String,0,This flag is used along with the Transaction Definition Id (displacement 0081) to identify inter-branching transactions. This flag can have the following values :,3
Device_Id,N,4,94,Int,0000,The device ID from which the transaction originated. This field must be set to zeros where the device id is unknown.,3
Message_Function_Code,N,1,98,Int,3,This field determines the type of transaction. It can have the following values :,3
Transaction_Type,N,2,99,Int,00,Not currently used.,3
Force_Post_Flag,N,1,101,Int,0,This field determines how the transaction should be treated. It can have the following values :,3
Transaction_Date,N,8,102,Int,20170215,The date the transaction originated from the front-office application. It must be in the format CCYYMMDD.,3
User_Id,A,4,110,String,RODR,The ID of the user who entered the transaction. The TPS uses the first three characters of this field along with the Transaction Sequence Number and Transaction Chain Number to generate a unique transaction reference for the transaction within TPS and Ban,3
Transaction_Sequence_Number,N,5,114,Int,00000,Each transaction must be assigned a unique transaction sequence number. However, each transaction within a chained series of BranchPower transactions must have the same sequence number. The Transaction Chain Number for each transaction in the chain must b,3
Transaction_Chain_Number,N,2,119,Int,00,Each transaction within a chain must be assigned a unique chain number. For transactions that are not part of a chain, this field must be set to 01.,3
Host_Task_Id,A,4,121,String,ST01,This field specifies which TPM should process the transaction. For a full list of valid codes, see the Introduction to this document.,3
BankMaster_Transaction_Type_03,N,2,125,Int,  ,The BankMaster transaction type to be used for this transaction. It must exist on the BankMaster Control file. This field is used only for financial messages and on all other messages it should be set to 00.,3
Authorised_Flag,A,1,127,String,0,This field must be initialised to 0.,3
Directory,A,6,128,String,esiubp,The easidata directory name,3
Name_of_File,A,6,134,String,cusab2,The easidata parameter file name,3
Transaction_Type,N,1,140,Int,3,1- insert , 2 – Amend, 3 - Inquiry,3
No_of_Fields,N,2,141,Int,61,Total number of fields in parameter file,3
Dsp_of_CLIENT NR,N,8,143,Int,01060002,01 – Field  number in parameter file,3
Filler     ,A,3,151,String,   ,Filler,3
CLIENT NR ,N,6,154,Int,599816,Value for field,3
